RegionName,State,2015,2016,2017,2018,2019
Baltimore County, MD,45889827,47372042,48796244,50614690,52104719
Baltimore City, MD,28712488,29255324,29964542,31071939,31679263
Bamberg County, SC,445954,452460,462758,479517,495161
Bandera County, TX,867383,890736,934856,995195,1038296
Banks County, GA,595971,599540,650394,676084,676093
Banner County, NE,60769,58649,38761,38371,41493
Bannock County, ID,2907914,3000198,3175868,3313727,3446147
Baraga County, MI,260617,262542,265929,270093,279465
Barber County, KS,197943,187235,181568,195760,214662
Barbour County, WV,491620,489872,504420,536142,552398
Barbour County, AL,838910,824046,838184,872189,882834
Barnes County, ND,520829,520742,531734,554256,580785
Barnstable County, MA,14001940,14579039,15181333,15949290,16492955
Barnwell County, SC,673129,683265,690310,716509,742958
Barren County, KY,1526801,1504960,1552131,1601474,1652103
Barron County, WI,2032588,2019701,2106536,2232746,2269726
Barrow County, GA,2505930,2622486,2792955,2943147,3116154
Barry County, MI,2412065,2498821,2591737,2719130,2819260
Barry County, MO,1224757,1178152,1194907,1252940,1252712
Bartholomew County, IN,3740935,3797404,3958850,4238170,4402236
Barton County, KS,1269272,1213909,1193128,1204084,1275030
Barton County, MO,393604,398417,414533,410871,423560
Bartow County, GA,3564714,3724587,3863376,4075569,4256238
Bastrop County, TX,2693625,2787722,2977578,3175953,3397143
Bates County, MO,569595,586644,612912,615990,652141
Bath County, KY,356965,360272,369477,377869,391588
Bath County, VA,242889,252415,262320,270870,277285
Baxter County, AR,1415092,1427218,1478745,1522684,1582873
Bay County, FL,7322428,7552595,7695669,8043321,7982208
Bay County, MI,4048099,4110220,4175285,4393535,4502212
Bayfield County, WI,635195,650044,686488,737455,763071
Baylor County, TX,149721,142847,150802,157827,163573
Beadle County, SD,896906,908723,871237,886144,913807
Bear Lake County, ID,214265,222465,230614,248684,264003
Beaufort County, NC,1818863,1861443,1910004,1962531,2055658
Beaufort County, SC,9163107,9649057,10140166,10813382,11396255
Beauregard Parish, LA,1440629,1451589,1515666,1581373,1630098
Beaver County, UT,191794,183734,213775,241969,274367
Beaver County, OK,269649,235186,257473,275459,280830
Beaver County, PA,7331915,7417063,7621713,8032448,8294803
Beaverhead County, MT,402381,405750,406843,436254,457751
Becker County, MN,1484983,1508198,1563535,1621892,1693284
Beckham County, OK,886013,754247,783981,845456,847882
Bedford County, VA,3296949,3352793,3516347,3674241,3759493
Bedford County, TN,1611544,1673917,1751110,1841421,1922243
Bedford County, PA,1849528,1864957,1954281,2017863,2079566
Bee County, TX,888855,858305,902359,931549,970173
Belknap County, NH,3291994,3411013,3552297,3744662,3880941
Bell County, KY,753715,741379,767294,789336,797861
Bell County, TX,13789821,13938422,14641027,15170804,15939217
Belmont County, OH,2570676,2525580,2711967,2904705,2880384
Beltrami County, MN,1733194,1780760,1837760,1927221,1991920
Ben Hill County, GA,527125,508707,515725,536449,554903
Benewah County, ID,319923,319832,331046,352210,369088
Bennett County, SD,112857,107410,113398,124252,123693
Bennington County, VT,1765249,1775758,1832132,1903999,1981718
Benson County, ND,217663,227978,230430,258251,246901
Bent County, CO,158233,152671,149713,168493,174974
Benton County, TN,500657,505961,524741,543978,557230
Benton County, OR,3699685,3914457,4101636,4351272,4534024
Benton County, IA,1257474,1268108,1323861,1367200,1423806
Benton County, WA,8523515,8793589,9132345,9597733,10087552
Benton County, MN,1588757,1633522,1712530,1785669,1858734
Benton County, AR,19891875,21490197,22441267,25141681,25875643
Benton County, IN,301749,343069,337816,358617,368594
Benton County, MS,228635,231196,241877,250853,259425
Benton County, MO,652194,643760,671881,716848,749250
Benzie County, MI,668676,695593,727310,760085,786740
Bergen County, NJ,72042213,73698830,76156096,80599203,83391284
Berkeley County, SC,7202010,7690826,8346612,9029801,9655241
Berkeley County, WV,4173058,4368966,4574929,4834319,5061540
Berks County, PA,18724168,19185253,19885496,20790624,21605098
Berkshire County, MA,6551281,6704798,6873118,7132374,7284151
Bernalillo County, NM,27126801,28127871,28675766,29767357,30852814
Berrien County, MI,6596620,6797871,6993722,7299007,7399551
Berrien County, GA,554443,556268,592359,603208,638841
Bertie County, NC,657501,645437,686523,680235,709064
Bethel CA, AK,725630,747769,770128,824255,852161
Bexar County, TX,80552958,81826248,86439489,92186023,95829678
Bibb County, GA,5900849,5946192,6150465,6353839,6539253
Bibb County, AL,655587,654451,662652,683509,710451
Bienville Parish, LA,458429,459299,486983,512765,517870
Big Horn County, MT,374130,387084,391256,407690,424703
Big Horn County, WY,444823,421591,429386,453675,463561
Big Stone County, MN,263082,253710,263621,267923,276957
Billings County, ND,72763,66537,71751,69504,73822
Bingham County, ID,1493136,1507499,1556272,1665068,1774535
Black Hawk County, IA,5438005,5457298,5613059,5974316,6079217
Blackford County, IN,430064,424877,435193,449783,456358
