RegionName,State,2015,2016,2017,2018,2019
Clark County, OH,5041325,5122990,5307351,5456881,5606209
Clark County, AR,733000,748183,768428,789859,822088
Clark County, MO,231114,243702,241883,233104,250413
Clark County, WI,1287675,1278356,1351901,1427040,1499964
Clark County, IN,4735041,4768432,4915051,5126544,5355562
Clarke County, AL,841035,848943,852280,869079,896816
Clarke County, GA,3824961,3977336,4142114,4331392,4474788
Clarke County, MS,560834,556827,563734,580842,601987
Clarke County, IA,357375,346308,371753,400245,394877
Clarke County, VA,838969,891904,920871,949648,980843
Clatsop County, OR,1501157,1598603,1695861,1824867,1893791
Clay County, NE,315853,309480,295583,306844,318597
Clay County, KY,600061,589396,605318,613332,620903
Clay County, KS,309691,311834,321279,340951,375197
Clay County, MN,2537891,2563724,2632948,2736522,2827261
Clay County, AL,420625,420675,433762,446853,454255
Clay County, AR,461979,467969,511860,522601,530522
Clay County, IA,808614,753196,768801,836826,869195
Clay County, GA,88071,90760,91670,94125,99593
Clay County, NC,331313,338836,352724,368802,386241
Clay County, TX,417420,425253,425238,443111,463811
Clay County, TN,224268,219266,231330,236535,236490
Clay County, MS,665804,679161,702629,721857,761991
Clay County, IL,481135,485866,516875,540997,531421
Clay County, FL,8043581,8465114,8817130,9283960,9656244
Clay County, WV,259002,250119,256322,270510,273930
Clay County, SD,484433,509038,510516,547202,571084
Clay County, IN,908764,940236,972674,989779,1022891
Clay County, MO,10642438,10899477,11272904,11720425,12227468
Clayton County, GA,7204496,7466214,7714133,8047505,8377425
Clayton County, IA,819817,804286,847147,865962,912233
Clear Creek County, CO,518894,529432,557748,573163,599619
Clearfield County, PA,3232695,3294613,3401172,3563944,3665814
Clearwater County, MN,347051,349495,365030,386791,394740
Clearwater County, ID,285581,289559,301527,315090,322264
Cleburne County, AL,513649,507354,528277,544002,533646
Cleburne County, AR,907062,886653,920450,943044,970400
Clermont County, OH,9811663,9907943,10441016,11006492,11527324
Cleveland County, NC,3307740,3361244,3511878,3643607,3785077
Cleveland County, OK,11754511,11684128,12067593,12487019,12972478
Cleveland County, AR,302494,297056,312879,324555,317020
Clinch County, GA,231966,237568,240027,247149,259001
Clinton County, KY,313111,301694,310305,319216,322897
Clinton County, IL,1572945,1620382,1686509,1740894,1789942
Clinton County, IN,1142396,1167749,1192552,1266051,1292892
Clinton County, MO,798143,818347,841026,848315,880724
Clinton County, OH,1718251,1765973,1835276,1901514,1955649
Clinton County, NY,3295365,3304184,3473823,3504447,3630851
Clinton County, MI,3163563,3329608,3468770,3628001,3773677
Clinton County, IA,1961227,1972383,1992526,2065782,2157372
Clinton County, PA,1432001,1422155,1474243,1525731,1571117
Cloud County, KS,317752,313196,316765,338287,368059
Coahoma County, MS,778013,806151,798216,804904,820133
Coal County, OK,185156,179610,187713,198869,212882
Cobb County, GA,37208287,38671115,41384785,43495538,44995411
Cochise County, AZ,4670449,4712805,4877224,5045137,5259219
Cochran County, TX,96270,90305,108601,113073,112216
Cocke County, TN,1047551,1075174,1107019,1157574,1200388
Coconino County, AZ,5945052,6243199,6602169,6965148,7057376
Codington County, SD,1236273,1265759,1323577,1392878,1435469
Coffee County, AL,2026646,2062421,2136577,2226721,2301936
Coffee County, GA,1267818,1279221,1369043,1413481,1474423
Coffee County, TN,1975957,1998481,2066070,2165878,2284245
Coffey County, KS,446106,428922,402016,436364,450819
Coke County, TX,130356,126537,128863,136496,141132
Colbert County, AL,1949792,1987143,2044009,2107713,2191897
Cole County, MO,3313412,3374683,3499833,3542271,3704712
Coleman County, TX,328150,311454,330729,338875,348937
Coles County, IL,1959866,1958327,2021389,2067693,2113459
Colfax County, NM,489117,490458,486283,496640,507451
Colfax County, NE,436880,447185,433231,458728,479607
Colleton County, SC,1197314,1251969,1293469,1354087,1413693
Collier County, FL,29607837,31162883,33394573,37178408,38252405
Collin County, TX,55255631,58385800,62113034,66628804,70852208
Collingsworth County, TX,107801,106710,111369,115246,122717
Colorado County, TX,903301,887549,953007,966688,1008214
Colquitt County, GA,1366044,1397971,1491210,1515344,1585973
Columbia County, GA,6617260,6914327,7250668,7604404,8021273
Columbia County, NY,3110465,3150060,3269331,3325829,3456043
Columbia County, OR,1979793,2074720,2192063,2316271,2409293
Columbia County, FL,2172095,2239597,2348665,2450484,2550828
Columbia County, AR,837180,828456,872047,861282,878606
Columbia County, WA,189292,181595,186863,196821,205865
Columbia County, WI,2624548,2684500,2790493,2930391,3073530
Columbia County, PA,2528908,2593764,2671974,2763577,2844937
Columbiana County, OH,3706101,3668978,3766898,3932872,4005155
Columbus County, NC,1681147,1720724,1757775,1800719,1873004
Colusa County, CA,887045,947227,954030,1070094,1106274
Comal County, TX,6898580,7390392,7998694,8723303,9381221
Comanche County, TX,492315,490221,526244,552590,589606
Comanche County, KS,69907,69879,66212,75794,79693
Comanche County, OK,4839104,4749002,4847938,4928773,5153037
Concho County, TX,95790,89688,86344,90186,97476
Concordia Parish, LA,589170,592063,628723,638624,656927
Conecuh County, AL,385419,382981,397253,412559,421037
Conejos County, CO,274318,270037,281938,302103,314947
Contra Costa County, CA,77847050,82676557,88448139,93700558,98423318
Converse County, WY,746766,675736,692799,772445,880955
Conway County, AR,767205,749957,767473,795800,810744
Cook County, MN,259022,268484,282424,291350,300268
Cook County, GA,509494,510628,536665,560090,584499
Cook County, IL,296518776,298699521,309151571,328088258,336341911
Cooke County, TX,1913632,1806785,2021543,2074003,2181468
Cooper County, MO,613370,634318,664593,680213,712111
Coos County, NH,1252374,1278342,1318719,1361054,1401363
Coos County, OR,2491176,2579488,2687030,2874306,2994046
Coosa County, AL,309552,318048,324868,333585,346796
Copiah County, MS,905136,891158,915079,934567,952288
Corson County, SD,122205,110630,116512,112060,110788
Cortland County, NY,1809245,1802765,1899918,1948615,2010388
Coryell County, TX,2404446,2387703,2486561,2576797,2701551
Coshocton County, OH,1265654,1183699,1226855,1283426,1316205
Costilla County, CO,115725,117720,123684,131419,138457
Cottle County, TX,71429,72169,82619,85653,84244
Cotton County, OK,245917,231433,230382,231956,243821
Cottonwood County, MN,520896,483399,518275,547452,577073
Covington County, MS,633419,610990,680577,699625,689249
Covington County, AL,1239528,1250556,1300789,1336613,1361768
Coweta County, GA,5710796,6086158,6413612,6872161,7191366
Cowley County, KS,1343641,1280604,1288307,1334544,1397793
Cowlitz County, WA,4226719,4355998,4582411,4885518,5142891
Craig County, VA,184628,179102,186998,194810,200556
Craig County, OK,515602,502373,512826,528217,549566
Craighead County, AR,3690759,3779548,3909332,4049912,4266405
Crane County, TX,202047,178473,201095,231136,244768
Craven County, NC,4210931,4278420,4314817,4529336,4743930
Crawford County, IA,664379,648871,680602,721022,770645
Crawford County, AR,1898433,1945857,2006283,2067442,2144690
Crawford County, OH,1488029,1492586,1549979,1620166,1653298
Crawford County, MO,792727,819014,828102,842152,866898
Crawford County, WI,630277,641812,658034,676928,695636
Crawford County, IN,326587,334289,344065,355676,370761
Crawford County, KS,1342475,1352228,1418655,1488481,1544504
Crawford County, GA,387910,387287,407196,417510,422973
Crawford County, MI,422607,436356,449674,476804,496724
Crawford County, IL,851977,836467,845189,865764,894795
Crawford County, PA,3216921,3225466,3305443,3464388,3574515
Creek County, OK,2712681,2719390,2775974,2859599,2977044
Crenshaw County, AL,506575,481824,497056,509795,511186
Crisp County, GA,674339,689665,726786,745416,792446
Crittenden County, AR,1684992,1742861,1767526,1803389,1872223
Crittenden County, KY,299905,292160,301437,308311,320137
Crockett County, TX,141204,132901,138844,145222,154002
Crockett County, TN,502054,497174,521613,551175,579654
Crook County, WY,334679,331107,328529,350118,363772
Crook County, OR,798601,852568,910782,989434,1039221
Crosby County, TX,174741,177848,195351,210235,215596
Cross County, AR,570762,567152,600189,589731,635306
Crow Wing County, MN,2611402,2676802,2802375,2892480,2972016
Crowley County, CO,121550,112615,110509,119757,126201
Culberson County, TX,93498,97000,104394,119790,129188
Cullman County, AL,3045398,3042901,3191471,3338067,3419217
Culpeper County, VA,2092847,2194740,2292798,2398239,2508671
Cumberland County, PA,12466644,12621737,13156296,13764106,14325462
Cumberland County, VA,341402,346513,365007,371835,388285
Cumberland County, NC,12050587,12088682,12389004,12922913,13498407
Cumberland County, TN,1984586,2048663,2130513,2196605,2282786
Cumberland County, ME,15691337,16410133,17340793,18441005,19159939
Cumberland County, NJ,5711423,5764105,5876220,5963194,6166042
Cumberland County, KY,216072,216774,221793,230035,241193
Cumberland County, IL,610118,692213,776115,848155,903852
Cuming County, NE,730157,689574,555746,573515,601323
Currituck County, NC,1056009,1109066,1157180,1250865,1326148
Curry County, NM,2021857,2036307,2079481,2082472,2198710
Curry County, OR,871916,902726,934527,1000678,1042502
Custer County, ID,170853,176309,175172,184240,189515
Custer County, MT,518502,493891,508448,520998,538946
Custer County, SD,376254,392079,407468,424301,445596
Custer County, CO,189228,187553,196763,206469,214789
Custer County, OK,1122923,1051638,1107406,1156078,1196699
Custer County, NE,615559,579351,494795,513707,529050
Cuyahoga County, OH,62284668,63513965,65573621,68040002,69783547
Dade County, MO,246687,249835,249346,257179,267724
Dade County, GA,520988,521577,550034,582388,558240
Daggett County, UT,43236,41309,40949,41804,45365
Dakota County, MN,22633946,23371558,24533027,25707656,26562417
Dakota County, NE,783013,785405,796174,846266,878590
Dale County, AL,1717983,1721761,1766864,1821383,1861330
Dallam County, TX,530452,438501,474362,437453,471877
Dallas County, TX,133872374,139306331,148325521,159812807,165463378
Dallas County, AR,233106,237520,245349,249680,260038
Dallas County, IA,5001131,5218090,5606029,6067564,6377775
Dallas County, MO,501661,520221,534385,554184,577457
Dallas County, AL,1341550,1349994,1362892,1385273,1426903
Dane County, WI,28813802,29946835,31342795,33371565,35027152
Daniels County, MT,83196,77744,84629,83119,81770
Dare County, NC,1745644,1854544,1948438,2050195,2134975
Darke County, OH,2015021,2028910,2139226,2271067,2264138
Darlington County, SC,2297628,2315733,2413603,2510214,2611125
Dauphin County, PA,12734160,12939114,13453141,14149726,14670748
Davidson County, NC,5837347,6017853,6297357,6572555,6851141
Davidson County, TN,38109757,40513287,43360718,47616595,49458864
Davie County, NC,1806858,1859401,1964070,2042996,2121205
Daviess County, IN,1283238,1277759,1360309,1430122,1467365
Daviess County, KY,3996994,3954558,4055398,4188398,4301192
Daviess County, MO,255690,262725,270416,273224,293482
Davis County, UT,13651237,14581987,15233658,16249437,17213443
Davis County, IA,304898,298963,321388,352093,362597
Davison County, SD,978261,977914,977308,1020092,1053523
Dawes County, NE,332866,326424,319180,324399,331223
Dawson County, GA,927770,1004847,1062891,1147712,1208236
Dawson County, MT,408108,385299,390133,410350,407165
Dawson County, TX,416841,410177,466928,525448,510783
Dawson County, NE,1036941,1005151,995480,1043471,1091405
Day County, SD,253305,247789,241511,266902,249974
De Baca County, NM,85338,88473,82974,86858,91230
De Soto Parish, LA,1032448,1013051,1054356,1132685,1161617
De Witt County, IL,703394,729326,718968,747810,735352
DeKalb County, MO,316276,325449,341053,353920,372007
DeKalb County, TN,718531,734000,763935,805905,825330
DeKalb County, AL,2191977,2138842,2251689,2330853,2377212
DeKalb County, IN,1675193,1743488,1813668,1900481,1970470
DeKalb County, GA,32792812,34187918,36841257,38997656,40308314
DeKalb County, IL,3908153,4002778,4118549,4260548,4418233
DeSoto County, FL,863172,865734,902567,929164,992879
DeSoto County, MS,6396962,6688921,7020751,7469762,7769012
DeWitt County, TX,1175896,1023204,1058996,1165485,1197273
Deaf Smith County, TX,1026550,914130,963305,923004,971214
Dearborn County, IN,2141906,2172313,2246573,2366153,2470369
Decatur County, GA,885602,894277,919477,975473,1013733
Decatur County, TN,463762,465262,464751,484006,489246
Decatur County, KS,136402,139355,120692,124537,143145
Decatur County, IA,248424,245516,261720,277282,287207
Decatur County, IN,1006468,1050681,1093435,1141711,1173052
Deer Lodge County, MT,325487,334547,349586,362797,378885
Defiance County, OH,1443260,1469991,1509726,1565758,1599785
Del Norte County, CA,937395,974319,984436,1022361,1069227
Delaware County, IA,823831,808279,845346,889037,932598
Delaware County, PA,33096389,34218472,35499656,37988165,39524914
Delaware County, IN,3927884,3997455,4130590,4222330,4351803
Delaware County, OH,12781918,13531171,14355986,15184294,15851054
Delaware County, NY,1616773,1617924,1720782,1762615,1863398
Delaware County, OK,1296975,1269360,1330517,1369088,1424163
Delta County, CO,1024307,1030138,1130438,1180966,1225876
Delta County, TX,188881,197465,204263,206627,216558
Delta County, MI,1328361,1351637,1375066,1422242,1474667
Denali Borough, AK,151892,155498,163376,171933,176497
Dent County, MO,479004,484727,496322,510100,531219
Denton County, TX,39732479,42334736,45175091,49373169,52712796
Denver County, CO,45805650,44699933,52570978,56601673,59198384
Des Moines County, IA,1915553,1974627,1900010,1939203,1976606
Deschutes County, OR,8275134,8985844,9812799,10672155,11159204
Desha County, AR,448869,449391,440945,439005,465151
Deuel County, SD,218814,210705,209263,221898,229766
Deuel County, NE,92349,84178,77603,81728,76960
Dewey County, SD,226506,216930,214746,215860,224195
Dewey County, OK,198691,190362,185777,221940,233226
Dickens County, TX,69303,64284,68335,72790,74826
Dickenson County, VA,453704,444308,457372,469355,492501
Dickey County, ND,260939,249314,248348,268637,294815
Dickinson County, IA,964661,948389,977748,1033248,1076284
Dickinson County, KS,706933,713143,734158,770584,814378
Dickinson County, MI,1093318,1122535,1176396,1230994,1241240
Dickson County, TN,1854549,1954981,2065413,2166281,2270553
Dillingham CA, AK,273072,276482,287408,298998,304407
Dillon County, SC,803866,822610,842196,871455,920556
Dimmit County, TX,381199,337941,354134,380448,392812
District of Columbia, DC,50963559,53375784,55051139,56995791,58863955
Divide County, ND,120234,98206,116781,114543,118805
Dixie County, FL,413373,419178,449453,464975,476410
Dixon County, NE,234976,232348,221933,237163,247535
Doddridge County, WV,216627,214848,228709,249831,254905
Dodge County, WI,3643426,3638620,3753793,3904316,4049325
Dodge County, NE,1655854,1605864,1661411,1714954,1759630
Dodge County, GA,590230,594282,619867,639569,658751
Dodge County, MN,867747,869724,917132,966931,997812
Dolores County, CO,71290,67611,71802,75228,78101
Doniphan County, KS,276279,280044,292411,301554,338092
Donley County, TX,149061,135637,142191,154163,149251
Dooly County, GA,367359,394449,411200,416646,459687
Door County, WI,1530656,1588814,1656252,1732660,1777638
Dorchester County, SC,5459278,5644415,5923222,6304617,6663106
Dorchester County, MD,1368597,1380239,1435475,1468067,1522973
Dougherty County, GA,3047718,3051041,3082637,3166034,3258735
Douglas County, WA,1501729,1572906,1675402,1734831,1812076
Douglas County, CO,21793881,22589045,23635776,25811488,27549902
Douglas County, IL,909598,912385,953107,996031,1009427
Douglas County, NV,3147329,3179484,3445440,3573329,3698946
Douglas County, NE,32552939,31997012,33692394,35390833,36480926
Douglas County, MN,1869710,1942478,1918277,1976493,2009701
Douglas County, MO,342011,344464,356317,367161,384884
Douglas County, GA,4542217,4708278,4875820,5117910,5341063
Douglas County, OR,3959700,4105256,4289223,4522064,4698282
Douglas County, KS,4667486,4789302,5035739,5321380,5521639
Douglas County, SD,139477,136565,137737,152541,174836
Douglas County, WI,1714663,1713965,1781574,1865003,1939204
Dona Ana County, NM,7181934,7422695,7599194,7863764,8238087
Drew County, AR,625202,639398,657778,665399,687621
DuPage County, IL,61633365,62037653,64547254,67524903,69345500
Dubois County, IN,2214933,2201158,2309669,2393508,2445205
Dubuque County, IA,4350691,4390384,4525257,4857757,5013959
Duchesne County, UT,741747,668489,707490,721352,755042
Dukes County, MA,1388314,1472052,1551092,1692326,1750465
Dundy County, NE,141060,127860,109483,120116,126842
Dunklin County, MO,1000580,1005236,1014038,1043122,1086329
Dunn County, WI,1648734,1657053,1716558,1799527,1869542
Dunn County, ND,279783,221724,237108,259892,279762
Duplin County, NC,1977508,1913681,2028657,2004525,2068142
Durham County, NC,13596412,14251005,15035796,15890620,16624991
Dutchess County, NY,14691656,15132666,15884622,16434515,17205154
Duval County, TX,418946,387364,396813,422814,435444
Duval County, FL,38261335,39368242,41988332,44036635,45469834
Dyer County, TN,1435762,1426311,1457388,1506967,1581188
Eagle County, CO,3583264,3741395,4060543,4524124,4672862
Early County, GA,366312,371217,374366,379343,412340
East Baton Rouge Parish, LA,20480215,21171614,21695007,22819337,23324057
East Carroll Parish, LA,222346,245973,248478,246706,247238
East Feliciana Parish, LA,727893,753582,763394,792433,810429
Eastland County, TX,849837,873772,1116227,1422593,1447238
Eaton County, MI,4189264,4306158,4450357,4617596,4781770
Eau Claire County, WI,4492631,4518026,4758301,5059899,5216735
Echols County, GA,100400,98894,105502,111099,113014
Ector County, TX,6720151,5967285,6721220,7846736,8337928
Eddy County, ND,120680,130078,127769,137118,136749
Eddy County, NM,2901603,2703764,2745431,3172534,3487756
Edgar County, IL,633373,669934,703109,725810,732176
Edgecombe County, NC,1739405,1744791,1799344,1838739,1894908
Edgefield County, SC,850437,895923,956043,968856,1016640
Edmonson County, KY,364647,373725,392311,400843,413544
Edmunds County, SD,199528,189252,183972,222100,207572
Edwards County, IL,239338,239023,253423,260003,262135
Edwards County, KS,175104,178535,154279,158542,175455
Edwards County, TX,78246,68054,71480,78953,87769
Effingham County, GA,2159196,2263648,2414363,2589086,2717830
Effingham County, IL,1483819,1543047,1643712,1700405,1744488
El Dorado County, CA,11086060,11711406,12199413,12820940,13478795
El Paso County, TX,27292863,27950189,28974692,30425402,31651549
El Paso County, CO,30203129,31076720,32958633,34894532,36825059
Elbert County, GA,625959,631216,659589,675426,682340
Elbert County, CO,1256383,1326906,1402975,1523399,1619394
Elk County, PA,1336597,1355226,1391423,1460083,1469797
Elk County, KS,99648,91741,92631,97679,105069
Elkhart County, IN,8178645,8545400,9258826,9531126,9692815
Elko County, NV,2204700,2239629,2353514,2463989,2564159
Elliott County, KY,160083,156708,163212,167185,171597
Ellis County, KS,1291702,1244561,1248679,1317137,1363635
Ellis County, TX,6523593,6951504,7434516,7938636,8496165
Ellis County, OK,225472,182948,194012,203695,208529
Ellsworth County, KS,229405,229675,254866,271439,295217
Elmore County, AL,3122664,3235719,3368910,3459535,3598857
Elmore County, ID,946483,958157,979320,1042372,1116534
Emanuel County, GA,675985,685594,732077,736391,768172
Emery County, UT,305788,305293,310405,340674,352194
Emmet County, IA,407242,381410,390381,426549,450510
Emmet County, MI,1649821,1721831,1785043,1868655,1955718
Emmons County, ND,151825,160771,153104,158221,159135
Erath County, TX,1399543,1439512,1544134,1639028,1727640
Erie County, NY,42790155,43598951,45981038,47279188,49148494
Erie County, PA,11327145,11431703,11632868,12229735,12509662
Erie County, OH,4283425,4579459,4469602,4503276,4591197
Escambia County, FL,12128528,12367377,12900341,13517188,14117033
Escambia County, AL,1156885,1153726,1187983,1205171,1261355
Esmeralda County, NV,36902,35790,36075,32424,36353
Essex County, NJ,48089979,49411680,51151274,52078018,54056329
Essex County, VA,419784,428202,446877,455033,471423
Essex County, MA,47127787,48543280,50698535,53317797,55217691
Essex County, VT,208112,209680,217898,225900,239397
Essex County, NY,1531815,1571757,1666169,1712160,1777164
Estill County, KY,433326,429825,438309,452175,464477
Etowah County, AL,3537329,3607098,3714857,3821755,3919481
Eureka County, NV,70390,66597,73499,77754,87109
Evangeline Parish, LA,1050444,1046619,1081200,1107852,1117863
Evans County, GA,350211,351716,362372,368609,374051
Fairbanks North Star Borough, AK,5355702,5338649,5443462,5689172,5806852
Fairfield County, OH,6317643,6544298,6880449,7189722,7452479
Fairfield County, CT,98831179,101605049,105035532,110852692,114517862
Fairfield County, SC,770332,787394,799777,818787,845466
Fall River County, SD,300739,297116,301805,312167,323470
Fallon County, MT,165305,144888,143894,143050,144646
Falls County, TX,563607,565860,578909,599484,609859
Fannin County, TX,1166667,1214093,1277100,1342711,1414505
Fannin County, GA,776014,820989,882507,947116,979027
Faribault County, MN,573696,537232,569849,589230,640887
Faulk County, SD,118086,105720,103869,128152,130615
Faulkner County, AR,4234235,4332002,4497216,4717904,4907842
Fauquier County, VA,4383489,4507688,4755784,4985287,5169053
Fayette County, IL,698287,705504,733602,762329,774720
Fayette County, TX,1208194,1162673,1280578,1336480,1382683
Fayette County, PA,5147144,5165727,5310464,5511261,5666748
Fayette County, GA,6152211,6510129,6878529,7416262,7719618
Fayette County, IN,839606,871466,902252,938335,970121
Fayette County, WV,1434579,1397757,1441222,1496508,1544617
Fayette County, OH,1003854,1043654,1084580,1115681,1141050
Fayette County, TN,1959990,2062718,2159956,2218642,2318313
Fayette County, AL,540118,541514,556048,576254,594454
Fayette County, IA,807634,795480,829036,886749,916109
Fayette County, KY,14684276,14843888,15408082,16155450,16709370
Fentress County, TN,537974,548082,568052,596813,624732
Fergus County, MT,445519,458375,455530,476053,515436
Ferry County, WA,260741,266012,272813,277787,284574
Fillmore County, NE,323155,292458,305134,315093,327607
Fillmore County, MN,930192,903811,926214,952648,991425
Finney County, KS,1474073,1510030,1522261,1620260,1707489
Fisher County, TX,154592,144547,153229,187886,170934
Flagler County, FL,4192971,4556432,4907415,5199907,5473063
Flathead County, MT,4096978,4309847,4652729,4896817,5072537
Fleming County, KY,469223,460205,475712,491229,506424
Florence County, SC,5234747,5422811,5540598,5813911,6085055
Florence County, WI,232743,223618,221478,225240,228965
Floyd County, VA,545142,560529,580856,608413,630989
Floyd County, IA,718665,709589,713364,749118,785272
Floyd County, GA,3415448,3494409,3614529,3760045,3872375
Floyd County, IN,3818939,4040318,4095462,4310290,4487110
Floyd County, TX,207588,197956,228732,238510,255020
Floyd County, KY,1254855,1238577,1290997,1295812,1321530
Fluvanna County, VA,1054075,1082750,1133378,1191322,1236266
Foard County, TX,48282,45135,50258,55304,51854
Fond du Lac County, WI,4471789,4523940,4716776,4976108,5164866
Ford County, IL,644022,660031,628713,653292,655909
Ford County, KS,1191255,1276307,1281879,1328624,1390924
Forest County, PA,154151,160700,157494,167235,174747
Forest County, WI,339585,343859,354401,367910,384142
Forrest County, MS,2755589,2788142,2803172,2887195,2954711
Forsyth County, NC,16546954,16864417,17810938,18133578,18826804
Forsyth County, GA,12250636,13146750,13866236,14748059,15598830
Fort Bend County, TX,43981558,40351441,42672353,45591635,48419712
Foster County, ND,176996,183316,190314,196392,191220
Fountain County, IN,590101,618906,634922,662361,676924
Franklin County, AL,1003980,993470,1042100,1086487,1106841
Franklin County, ME,1071902,1078178,1098635,1157401,1213659
Franklin County, MO,4083137,4201345,4445682,4569622,4748358
Franklin County, IA,488990,456127,469574,500733,536133
Franklin County, IN,968189,986212,1019214,1048614,1084735
Franklin County, WA,3114925,3187646,3335661,3556716,3763761
Franklin County, NY,1745882,1770935,1870485,1879955,1983300
Franklin County, MA,3560107,3612341,3729416,3870676,3985726
Franklin County, IL,1365214,1371279,1405979,1449630,1472927
Franklin County, KY,2025978,2075609,2050762,2130310,2206424
Franklin County, FL,382718,389176,404474,439200,452509
Franklin Parish, LA,599358,605585,631186,644597,665504
Franklin County, ID,435869,443163,464995,487578,517471
Franklin County, GA,783332,757598,800208,826254,794267
Franklin County, TN,1474713,1500237,1570239,1633516,1703917
Franklin County, KS,981393,1006673,1043747,1093449,1136000
Franklin County, OH,59977789,61328530,63232630,65757465,68002165
Franklin County, NE,138233,131682,133682,141012,147814
Franklin County, AR,557770,552935,575979,589946,591749
Franklin County, MS,256381,252230,254657,260426,272675
Franklin County, PA,6414793,6544207,6833358,7156703,7431056
Franklin County, VA,2105923,2146533,2209401,2274233,2342295
Franklin County, NC,2050715,2147475,2286547,2433229,2584531
Franklin County, TX,385787,384872,414266,433921,443022
Franklin County, VT,2057171,2108083,2198448,2269404,2365833
Frederick County, MD,13566934,14258864,14965451,15884689,16649205
Freeborn County, MN,1272279,1272137,1338883,1384093,1433993
Freestone County, TX,725840,682918,698337,731524,752829
Fremont County, WY,1713072,1622601,1676194,1801425,1848070
Fremont County, CO,1474365,1521215,1586624,1703827,1768409
Fremont County, ID,404644,418946,438722,467236,497146
Fremont County, IA,303947,301447,306084,311456,351068
Fresno County, CA,38949236,40168751,41286010,43088095,45445944
Frio County, TX,574340,533966,565964,589353,613716
Frontier County, NE,123277,111752,101591,99875,102086
Fulton County, AR,313569,316698,327756,344688,362079
Fulton County, NY,2089816,2148445,2264740,2329269,2426755
Fulton County, KY,203540,193553,204667,202343,210346
Fulton County, GA,74242969,78381387,84994746,91687757,94511629
Fulton County, OH,1735700,1789330,1844714,1916856,1971950
Fulton County, PA,562550,570440,608585,648313,665095
Fulton County, IL,1242982,1261367,1283399,1324394,1320900
Fulton County, IN,768953,775121,807670,849777,874361
Furnas County, NE,232316,209695,200463,201730,215150
Gadsden County, FL,1443873,1482408,1546286,1594440,1638507
Gage County, NE,1018000,946427,976776,1024922,1055358
Gaines County, TX,761423,729646,815379,857218,954346
Gallatin County, MT,4952874,5285519,5802341,6306848,6659440
Gallatin County, KY,255479,258130,273746,285585,298862
Gallatin County, IL,190710,198200,201159,205445,204955
Gallia County, OH,1078513,1086518,1128176,1173715,1197052
Galveston County, TX,16032267,15906571,16708634,17749575,18561154
Garden County, NE,95725,87096,83498,85132,88568
Garfield County, CO,3254326,3171322,3335173,3490963,3620791
Garfield County, NE,110348,98448,77781,77258,81108
Garfield County, WA,102903,96304,102130,109024,120933
Garfield County, UT,175606,176536,189518,191601,201536
Garfield County, MT,49909,43668,41303,44120,42766
Garfield County, OK,2785546,2725012,2626515,2667845,2741380
Garland County, AR,3591125,3676878,3811049,3916903,4081660
Garrard County, KY,560663,564283,585356,602048,622740
Garrett County, MD,1219731,1245361,1278904,1333397,1384972
Garvin County, OK,1019101,967674,1007339,1053586,1089136
Garza County, TX,191505,170832,184741,195560,203070
Gasconade County, MO,534993,542869,572158,576011,601947
Gaston County, NC,8014752,8285523,8781087,8944138,9319266
Gates County, NC,398682,405477,422618,429995,449200
Geary County, KS,1611381,1555360,1585184,1606216,1628155
Geauga County, OH,5855011,5995267,6206445,6471334,6644886
Gem County, ID,566410,588634,623889,672478,713289
Genesee County, NY,2381961,2376466,2478776,2534042,2645232
Genesee County, MI,15235343,15627147,15972759,16518658,17015416
Geneva County, AL,874807,875485,905832,934529,968033
Gentry County, MO,250180,247672,267059,272560,293062
George County, MS,740184,735977,750548,797069,823089
Georgetown County, SC,2598566,2662996,2818864,2961369,3092716
Gibson County, TN,1758632,1741764,1808798,1870395,1960020
Gibson County, IN,1352498,1388401,1439211,1505795,1549975
Gila County, AZ,1900657,1944431,2077614,2148242,2226470
Gilchrist County, FL,523864,543206,585478,612276,645832
Giles County, TN,1030382,1060687,1110263,1127213,1147162
Giles County, VA,615649,626276,642103,666609,688515
Gillespie County, TX,1417563,1451297,1564531,1648953,1708105
Gilliam County, OR,93935,90919,92638,98027,105942
Gilmer County, GA,968843,977336,1034971,1094976,1115989
Gilmer County, WV,228097,214570,223384,227454,232126
Gilpin County, CO,255223,266706,277734,295678,314311
Glacier County, MT,424645,441357,448789,480259,501764
Glades County, FL,323931,304650,327437,345783,360490
Gladwin County, MI,821113,848743,894331,924868,954653
Glascock County, GA,94177,97569,98902,98693,103348
Glasscock County, TX,94193,86862,113181,119507,119234
Glenn County, CA,1150270,1200674,1217208,1317914,1396761
Gloucester County, NJ,14435634,14771784,15274186,15842578,16477279
Gloucester County, VA,1679981,1733239,1803993,1870650,1936385
Glynn County, GA,3462108,3559240,3754662,4011795,4108551
Gogebic County, MI,567805,578113,570716,601470,616477
Golden Valley County, MT,45351,42597,39089,41715,43400
Golden Valley County, ND,79858,75439,71602,65065,66368
Goliad County, TX,313609,301694,312162,332123,349121
Gonzales County, TX,945273,809877,871438,953777,933271
Goochland County, VA,1979237,2047429,2223996,2351317,2439202
Goodhue County, MN,2307467,2298178,2396326,2494156,2586510
Gooding County, ID,766824,773117,786286,829156,936770
Gordon County, GA,1832021,1860224,2046092,2027999,2061006
Goshen County, WY,558342,525265,536281,568772,577657
Gosper County, NE,111267,94516,88588,96432,100451
Gove County, KS,178630,178214,146198,152862,175038
